minimize	-0.372	10	16
monologue	-0.372	10	16
worn  	-0.372	10	16
hiptop	-0.372	10	16
coupla	-0.372	10	16
gainesville	-0.372	10	16
pants  	-0.372	43	67
though-	-0.372	10	16
6:00	-0.372	21	33
nme	-0.372	10	16
helps  	-0.372	21	33
lappie	-0.372	10	16
knowin	-0.372	10	16
airways	-0.372	10	16
x-files	-0.372	10	16
tool  	-0.372	10	16
darned	-0.372	10	16
dad's	-0.372	261	404
comment  	-0.373	63	98
anyways  	-0.373	83	129
wheel	-0.373	114	177
voice  	-0.373	72	112
mph	-0.374	30	47
bla	-0.374	30	47
freezer	-0.374	61	95
anti	-0.374	30	47
worms	-0.374	30	47
man  	-0.374	230	357
nowwww	-0.375	19	30
columns	-0.375	19	30
moms  	-0.375	19	30
buyer	-0.375	19	30
madd	-0.375	39	61
mock	-0.375	39	61
pooh	-0.375	39	61
giving   	-0.375	39	61
flats	-0.375	39	61
grey	-0.375	228	354
new  	-0.375	1227	1903
stubborn	-0.376	28	44
2am	-0.376	173	269
ldn	-0.376	28	44
warehouse	-0.376	28	44
family's	-0.376	28	44
d.c.	-0.376	28	44
...............	-0.376	37	58
jumped	-0.377	109	170
guy  	-0.378	163	254
hunting  	-0.378	8	13
..........	-0.378	152	237
poncho	-0.378	8	13
yosemite	-0.378	8	13
starbuck	-0.378	8	13
game's	-0.378	8	13
afterall  	-0.378	17	27
bsk	-0.378	8	13
50/50	-0.378	8	13
flooring	-0.378	8	13
lmaooooo	-0.378	8	13
gta4	-0.378	8	13
should   	-0.378	8	13
triggered	-0.378	8	13
describe   	-0.378	17	27
related  	-0.378	26	41
gameboy	-0.378	17	27
3's	-0.378	8	13
chav	-0.378	8	13
prepaid	-0.378	8	13
douchebags	-0.378	8	13
stockton	-0.378	8	13
yrs  	-0.378	35	55
ferrets	-0.378	8	13
tenho	-0.378	8	13
hiding  	-0.378	8	13
tscc	-0.378	8	13
gretchen	-0.378	8	13
ahead  	-0.378	35	55
sei	-0.378	8	13
hibernation	-0.378	8	13
elevated	-0.378	8	13
sakin	-0.378	8	13
biz  	-0.378	8	13
cgi	-0.378	8	13
nike+	-0.378	8	13
drops  	-0.378	8	13
ownership	-0.378	8	13
reeeeally	-0.378	8	13
were   	-0.378	8	13
beard  	-0.378	8	13
flashes	-0.378	17	27
10-15	-0.378	8	13
hoooome	-0.378	8	13
tod	-0.378	8	13
interest  	-0.378	17	27
flatmates	-0.378	8	13
stove	-0.378	26	41
ain	-0.378	17	27
500k	-0.378	8	13
huntington	-0.378	17	27
switches	-0.378	8	13
dating  	-0.378	17	27
bread  	-0.378	26	41
darkest	-0.378	8	13
tables  	-0.378	8	13
necks	-0.378	8	13
terrorism	-0.378	8	13
